Open,High,Low,Close,Adj Close,Volume
5208.2998046875,5257.25,5208.2998046875,5230.10009765625,5230.10009765625,0
5230.2998046875,5266.2998046875,5230.2998046875,5244.89990234375,5244.89990234375,0
5248.60009765625,5331.7998046875,5221.10009765625,5269.35009765625,5269.35009765625,0
5269.64990234375,5311.0498046875,5269.64990234375,5304.10009765625,5304.10009765625,0
5299.35009765625,5342.35009765625,5299.35009765625,5322.4501953125,5322.4501953125,0
5322.10009765625,5330.5498046875,5301.39990234375,5308.35009765625,5308.35009765625,0
5308.2001953125,5308.25,5202.4501953125,5215.4501953125,5215.4501953125,0
5215.25,5264.75,5214.7998046875,5254.14990234375,5254.14990234375,0
5254.2001953125,5294.7998046875,5254.2001953125,5278.0,5278.0,0
5278.39990234375,5278.7001953125,5210.0498046875,5222.75,5222.75,0
